Feature,Imp. # FAIR),Imp. (% FAIR),Imp. (Exposure)
Growth in Losses to All Disasters 3yr Ratio,0.0005986585548452431,3.467900408960137e-05,0.0010167918030700273
Nonrenewed Policies (by Owner),0.010559071479811959,3.4319169821107956e-05,0.0026780290376714837
All Disasters 1y,0.00016524227953400655,3.2258304444789916e-05,0.0003105513958320154
Housing Units,0.0017392566186864359,3.1795379398055734e-05,0.005191741795510587
Expiring Policies,0.015092841573646284,3.146882366799027e-05,0.00456503067643804
Renewal Resilience,0.0009863351360830332,3.0655971852510655e-05,0.002940090044642399
Zillow Home Value 2018 ($),0.0008724304414879533,2.7653849424981532e-05,0.001729335972504589
Fire Disasters 10y,0.0016532114445068945,2.575466197193015e-05,0.00023244096854003294
% Change - Losses (Fire and Smoke),0.0006035135043519504,2.5291752762444178e-05,0.0013577711699473203
Zillow Home Value 2020 ($),0.00042817402676659287,1.803183384225716e-05,0.0015074560213041968
% Change White-only Pop,0.0013241504484879155,1.6491087905543252e-05,0.000300127138914865
Fire Disasters 5y,0.0010851852158222353,1.2202393392587356e-05,0.0004959492264594667
All Disasters 3y,0.00037996481062981414,1.2201782287583162e-05,0.0004780949098060379
Fire Disasters 3y,0.0001743189363232326,6.941515839394354e-06,0.00014008863158328441
All Disasters 5y,0.00035774370091687445,5.032391475361542e-06,0.00018616832729172954
Fire Disasters 1y,9.443251099749235e-05,3.312611686923025e-06,0.00012314109313442788
