Feature,Corr (FAIR),P (FAIR),Corr (% FAIR),P (% FAIR),Corr (Exposure),P (Exposure)
Median Gross Rent ($),-0.1175464368363258,5.7767587698242594e-05,-0.2053701288861804,1.4650055405803512e-12,0.010792222844463586,0.7128907770488907
New and Renewed to Nonrenewed and Income Growth Product,-0.10311765611725934,0.00042309194166181873,-0.1789734104129676,7.655260367564341e-10,-0.1696893429294968,5.611252239730252e-09
% Change - Expiring Policies,0.16814447835221158,7.735647252231293e-09,0.1545662424001101,1.14604339669644e-07,0.12450217929247007,2.030144837514735e-05
Earned Premium ($),0.13367671245229684,4.6870145282581345e-06,-0.15133038636520785,2.1075406266490524e-07,0.2986571320108229,1.975744130050351e-25
Log of Average Median Income,-0.08023257637200255,0.006144210254251127,-0.15098093866582762,2.2491500427391374e-07,0.08273753189396808,0.004715976569824201
Losses to Owner Nonrenewed Ratio,0.029456254788479196,0.31511724122336005,0.1433695596313185,8.93939022428246e-07,0.04673979659667424,0.11082719713507991
Avg Median Income,-0.08357892280832599,0.004308329323909932,-0.14183560539712764,1.1706499846875427e-06,0.07999186278236944,0.00630013316298137
Premium to Exposure Ratio,0.045055796534746936,0.12429858311958449,0.11995621736122522,4.0467900423493054e-05,0.19258442673354412,3.3935316725966746e-11
Change in Nonrenewed to Income Growth Ratio,0.08232174118081426,0.004930028656868639,0.11765341700493702,5.687011432625454e-05,0.1044108964992763,0.0003573932629022399
Median Home Value - Census ($),-0.05103383754934186,0.08165613461259172,-0.11176893560985718,0.0001319467605960412,0.07805667515701507,0.007688639621296593
Growth in Losses to All Disasters 5yr Ratio,-0.007040628123266437,0.8102865335144204,0.11074796513388074,0.0001520733512156865,-0.009520469864247786,0.7454746561755874
Fire Smoke Claims to Total Units Ratio,0.020519105283061147,0.4841259766618682,0.10714177355128529,0.00024869727184781193,0.026777906650272354,0.36115383483819696
Growth in Losses to All Disasters 3yr Ratio,-0.008456944171385813,0.7730799680328356,0.10354423162481961,0.0004002688231323362,-0.010717648673795823,0.7147877547364756
Growth in Losses to All Disasters 10yr Ratio,-0.008758760249847302,0.7652150079242853,0.10256905011332283,0.00045422947766779475,-0.01083461974613206,0.7118130967997599
Zillow Home Value 2019 ($),-0.03966499292553455,0.17607849236556464,-0.09844924736810526,0.000765855702425419,0.10563718558588166,0.00030401092719187185
Zillow Home Value 2018 ($),-0.04151481222957443,0.15675297831092697,-0.09833245669828718,0.0007770645514566874,0.09989438378805753,0.0006390194131176307
Zillow Home Value 2020 ($),-0.036033630969466046,0.21907848472164723,-0.09769596094216895,0.0008408710048315347,0.1111386743817811,0.00014405235388324796
Zillow Mean Home Value ($),-0.03654872212556663,0.2125582067133905,-0.0966632891685342,0.0009548003008583034,0.11081651381020428,0.00015063638129316696
Housing Value to Log Median Income Ratio,-0.03351038239867253,0.253091433506315,-0.0947582392777853,0.001203227753392213,0.10928343303663052,0.000186031489953007
Growth in Losses to Fire Disasters 5yr Ratio,-0.007294717026726822,0.8035773685013133,0.09445486454839985,0.0012478970126212521,-0.009535081162432466,0.7450975719713497
Fire Disasters 1y,0.023156829267852053,0.42973305597131606,0.09443347248509248,0.0012511038194917663,0.029804468948772235,0.30942811537190523
Growth in Losses to Fire Disasters 3yr Ratio,-0.007807834313379093,0.7900730711384579,0.09375829280597378,0.0013563080238496409,-0.010011431349619359,0.7328379512513921
% Change White-only Pop,0.041851697913426134,0.15341330042050677,0.09368016608647382,0.0013689938054561646,0.06264296076700979,0.03252159279952977
Zillow Home Value 2021 ($),-0.029872168253863556,0.3083299626959546,-0.09221689147506516,0.001627721737603634,0.1236195076254974,2.3254921833474017e-05
% Nonrenewed Policies (by Owner),0.051482115076846316,0.07900801793817992,0.09219533113322476,0.001631849505486503,0.07837970507905903,0.007439331012022073
Growth in Losses to Fire Disasters 10yr Ratio,-0.010500871955350684,0.7203119672890217,0.08682012382215142,0.0030192301556775532,-0.012132512907762186,0.6791093676782404
% Change - Zillow Home Value,0.07569238663500649,0.009752745185679628,0.08416439506780066,0.0040437925087153555,0.06826457024078597,0.019793983354068755
Loss Burden per Unit,0.01732700042104746,0.5546434929319174,0.08185420401112412,0.005181172102022783,0.023799169354138075,0.4170450288943849
Loss Burden per Exposure,0.01732700042104746,0.5546434929319174,0.08185420401112412,0.005181172102022783,0.023799169354138075,0.4170450288943849
% Change - Losses (Fire and Smoke),-0.0064378322848741565,0.8262581646766487,0.08117545719386582,0.00556633672354453,-0.008292724139237526,0.7773691971534316
Losses to Premium Ratio,0.020975889228974847,0.47444766085334517,0.07885017714431786,0.007089176497462693,0.024421280025070387,0.40496945275019625
Losses to Company Nonrenewed Ratio,0.009083416302126494,0.7567817954902245,0.06607292493284082,0.024117565210119124,0.027623870506132558,0.3461781922825659
% Change - Claims (Fire and Smoke),-0.004726402798820674,0.8719754512313252,0.042068282193481195,0.15129493056227092,-0.008320838419469232,0.7766344011109197
Median Owner Cost ($),-0.0025337447485912004,0.9311569359641266,-0.03958744320277334,0.17692579102668812,0.1547302674567333,1.1108178868781587e-07
All Disasters 1y,-0.03847025351473594,0.18947069057558458,0.029776495365485156,0.3098826284371047,-0.017138844295409884,0.558951475221499
Losses (Fire and Smoke) ($),0.02752369045455417,0.3479307157412825,0.028474645271056732,0.3315219344396712,0.037400096556208774,0.20209001235043367
Premium Adequacy,-0.05108504079802014,0.08135006952246202,-0.0267706834100399,0.3612834264778045,-0.012801027732712262,0.6624923090336815
Change in Renewed to Income Growth Ratio,-0.007072407278057984,0.8094466385109758,-0.016067691665855803,0.5837807315757623,-0.016787013388276133,0.5670501991878523
Housing Value to Median Income Ratio,0.035129248453693904,0.2308712626272088,-0.015853087595994107,0.588816261465689,0.05831475020648742,0.04659516984889476
% Change Median Income,0.02522171384746031,0.3897434858025067,0.012433086561159983,0.6716182223162721,-0.036069742772570676,0.21861674010183801
New and Renewed to Nonrenewed and Income Growth Ratio,-0.008410073842584251,0.7743034651155613,-0.00902756173294214,0.7582306375192316,-0.002344044850086412,0.9362997795406932
